islay 0.1.0 - Othello/Reversi engine (movegen backend: hybrid (int+NEON))
type 'uci', 'go perft <depth> [nocache]', 'd', 'test', or 'quit'
info string pattern weights loaded: weights/v12.pat (v3, 15 stages x 167332)
info string option EvalFile = weights/v12.pat
stage,depth,score,standpat
10,8,2089,1708
10,9,2310,1708
10,10,2207,1708
10,11,2139,1708
10,12,2275,1708
8,1,1126,144
8,2,398,144
8,3,813,144
8,4,434,144
8,5,687,144
8,6,537,144
8,7,538,144
8,8,616,144
8,9,386,144
8,10,665,144
8,11,566,144
8,12,621,144
2,1,933,646
2,2,501,646
2,3,640,646
2,4,402,646
2,5,701,646
2,6,355,646
2,7,533,646
2,8,452,646
2,9,300,646
2,10,298,646
2,11,324,646
2,12,400,646
1,1,106,-272
1,2,-174,-272
1,3,-17,-272
1,4,-117,-272
1,5,71,-272
1,6,127,-272
1,7,80,-272
1,8,86,-272
1,9,158,-272
1,10,215,-272
1,11,-23,-272
1,12,419,-272
8,1,1701,628
8,2,1096,628
8,3,1824,628
8,4,1392,628
8,5,1727,628
8,6,1624,628
8,7,1587,628
8,8,1769,628
8,9,1550,628
8,10,1661,628
8,11,1601,628
8,12,1457,628
4,1,-1382,-1347
4,2,-2173,-1347
4,3,-2127,-1347
4,4,-2196,-1347
4,5,-2169,-1347
4,6,-2214,-1347
4,7,-2142,-1347
4,8,-2171,-1347
4,9,-2030,-1347
4,10,-2296,-1347
4,11,-2234,-1347
4,12,-2261,-1347
8,1,1016,1302
8,2,419,1302
8,3,1087,1302
8,4,668,1302
8,5,498,1302
8,6,722,1302
8,7,292,1302
8,8,456,1302
8,9,389,1302
8,10,304,1302
8,11,360,1302
8,12,544,1302
3,1,118,-670
3,2,-197,-670
3,3,-510,-670
3,4,-388,-670
3,5,-260,-670
3,6,-142,-670
3,7,-361,-670
3,8,-340,-670
3,9,-289,-670
3,10,57,-670
3,11,-154,-670
3,12,-65,-670
4,1,41,92
4,2,321,92
4,3,597,92
4,4,528,92
4,5,339,92
4,6,714,92
4,7,668,92
4,8,730,92
4,9,588,92
4,10,718,92
4,11,528,92
4,12,641,92
6,1,3544,3587
6,2,3629,3587
6,3,3758,3587
6,4,3799,3587
6,5,3796,3587
6,6,3919,3587
6,7,3506,3587
6,8,3463,3587
6,9,3221,3587
6,10,3260,3587
6,11,3000,3587
6,12,3094,3587
3,1,-69,306
3,2,-479,306
3,3,-747,306
3,4,-917,306
3,5,-1083,306
3,6,-869,306
3,7,-1035,306
3,8,-971,306
3,9,-1087,306
3,10,-1118,306
3,11,-1105,306
3,12,-968,306
9,1,-2667,-2322
9,2,-2638,-2322
9,3,-2625,-2322
9,4,-2736,-2322
9,5,-2495,-2322
9,6,-2568,-2322
9,7,-2438,-2322
9,8,-2630,-2322
9,9,-2424,-2322
9,10,-2574,-2322
9,11,-2604,-2322
9,12,-2326,-2322
2,1,220,185
2,2,-163,185
2,3,-359,185
2,4,-3,185
2,5,-213,185
2,6,42,185
2,7,8,185
2,8,9,185
2,9,-103,185
2,10,-18,185
2,11,-199,185
2,12,-186,185
2,1,1912,1544
2,2,1653,1544
2,3,1655,1544
2,4,1769,1544
2,5,1663,1544
2,6,1480,1544
2,7,1408,1544
2,8,1647,1544
2,9,1621,1544
2,10,1747,1544
2,11,1813,1544
2,12,1750,1544
8,1,1444,620
8,2,1491,620
8,3,1935,620
8,4,2052,620
8,5,2235,620
8,6,2434,620
8,7,2365,620
8,8,2409,620
8,9,2473,620
8,10,2506,620
8,11,2486,620
8,12,2540,620
2,1,3333,3411
2,2,3189,3411
2,3,3123,3411
2,4,3235,3411
2,5,3103,3411
2,6,3166,3411
2,7,3166,3411
2,8,3061,3411
2,9,3301,3411
2,10,3332,3411
2,11,3323,3411
2,12,3488,3411
2,1,158,-32
2,2,1,-32
2,3,202,-32
2,4,306,-32
2,5,152,-32
2,6,436,-32
2,7,315,-32
2,8,282,-32
2,9,363,-32
2,10,408,-32
2,11,252,-32
2,12,414,-32
2,1,-384,-710
2,2,-859,-710
2,3,-789,-710
2,4,-732,-710
2,5,-696,-710
2,6,-673,-710
2,7,-619,-710
2,8,-597,-710
2,9,-679,-710
2,10,-596,-710
2,11,-909,-710
2,12,-747,-710
8,1,3333,2465
8,2,3302,2465
8,3,3610,2465
8,4,3498,2465
8,5,3536,2465
8,6,4126,2465
8,7,4165,2465
8,8,4040,2465
8,9,4435,2465
8,10,4351,2465
8,11,4283,2465
8,12,4592,2465
11,1,2814,2236
11,2,2959,2236
11,3,3070,2236
11,4,3265,2236
11,5,3224,2236
11,6,3078,2236
11,7,3329,2236
11,8,3022,2236
11,9,3052,2236
11,10,3185,2236
11,11,3200,2236
11,12,3000,2236
3,1,2477,2325
3,2,2393,2325
3,3,1629,2325
3,4,1323,2325
3,5,1357,2325
3,6,1127,2325
3,7,1163,2325
3,8,1088,2325
3,9,916,2325
3,10,968,2325
3,11,877,2325
3,12,862,2325
8,1,-1230,-1494
8,2,-1200,-1494
8,3,-1070,-1494
8,4,-1155,-1494
8,5,-1034,-1494
8,6,-1338,-1494
8,7,-1258,-1494
8,8,-1268,-1494
8,9,-1552,-1494
8,10,-1504,-1494
8,11,-1557,-1494
8,12,-1348,-1494
5,1,639,892
5,2,960,892
5,3,570,892
5,4,807,892
5,5,607,892
5,6,529,892
5,7,441,892
5,8,485,892
5,9,204,892
5,10,313,892
5,11,420,892
5,12,584,892
1,1,-424,-304
1,2,-548,-304
1,3,-571,-304
1,4,-362,-304
1,5,-348,-304
1,6,-83,-304
1,7,-370,-304
1,8,-100,-304
1,9,-104,-304
1,10,63,-304
1,11,68,-304
1,12,169,-304
2,1,2114,2074
2,2,1969,2074
2,3,1842,2074
2,4,1987,2074
2,5,2005,2074
2,6,2032,2074
2,7,1740,2074
2,8,1915,2074
2,9,1703,2074
2,10,1714,2074
2,11,1546,2074
2,12,1686,2074
4,1,1860,1533
4,2,1080,1533
4,3,663,1533
4,4,565,1533
4,5,461,1533
4,6,925,1533
4,7,436,1533
4,8,1001,1533
4,9,798,1533
4,10,831,1533
4,11,379,1533
4,12,554,1533
5,1,2481,2314
5,2,3064,2314
5,3,2499,2314
5,4,2442,2314
5,5,2609,2314
5,6,2376,2314
5,7,2311,2314
5,8,2238,2314
5,9,2208,2314
5,10,2331,2314
5,11,2268,2314
5,12,2256,2314
10,1,-1668,-1691
10,2,-2764,-1691
10,3,-2424,-1691
10,4,-2875,-1691
10,5,-2917,-1691
10,6,-2578,-1691
10,7,-2654,-1691
10,8,-2676,-1691
10,9,-2836,-1691
10,10,-2564,-1691
10,11,-2269,-1691
10,12,-2422,-1691
1,1,-173,-380
1,2,-56,-380
1,3,69,-380
1,4,149,-380
1,5,-266,-380
1,6,-48,-380
1,7,-257,-380
1,8,-27,-380
1,9,-355,-380
1,10,-309,-380
1,11,-332,-380
1,12,-31,-380
11,1,2,-1070
11,2,-505,-1070
11,3,-67,-1070
11,4,11,-1070
11,5,22,-1070
11,6,-279,-1070
11,7,-594,-1070
11,8,-423,-1070
11,9,-161,-1070
11,10,-595,-1070
11,11,-435,-1070
11,12,-190,-1070
5,1,-556,-671
5,2,-1210,-671
5,3,-1110,-671
5,4,-1048,-671
5,5,-936,-671
5,6,-815,-671
5,7,-911,-671
5,8,-853,-671
5,9,-888,-671
5,10,-813,-671
5,11,-792,-671
5,12,-765,-671
4,1,-1328,-1279
